production_date,machine_id,employee_id,product_id,shift_id,units_produced,defective_units,production_hours
2026-06-01,96,282,13,3,262,8,2.2
2024-07-06,21,35,3,2,116,3,5.79
2024-10-08,8,20,5,3,91,1,2.87
2024-03-11,78,241,13,2,405,11,3.77
2023-10-13,62,163,15,1,552,10,6.21
2025-01-11,80,226,15,3,524,9,7.98
2023-08-13,67,159,13,1,139,5,5.39
2025-02-20,58,158,14,1,389,10,4.7
2026-01-04,2,49,6,2,74,1,6.38
2025-07-18,39,112,2,2,151,5,7.68
2025-11-05,35,117,2,3,204,2,7.09
2024-02-12,87,229,20,3,813,9,3.62
2026-05-11,73,242,5,2,81,1,4.42
2023-04-29,48,104,14,1,161,6,7.15
2025-12-26,11,52,14,2,214,2,1.9
2025-12-16,76,218,17,2,117,2,3.96
2024-09-30,75,237,16,3,91,2,7.97
2023-09-05,60,187,14,2,276,3,2.57
2026-04-20,81,230,15,2,525,14,1.05
2023-03-06,8,20,6,3,82,1,1.5
2026-01-09,94,277,15,3,435,15,6.06
2025-08-26,79,228,2,2,358,1,2.33
2025-04-21,59,176,14,3,389,2,7.05
2023-05-05,91,282,1,3,356,8,6.1
2024-01-25,14,21,2,1,424,4,4.14
2023-06-04,37,114,2,2,376,10,6.66
2023-01-31,13,9,12,1,197,5,7.48
2025-09-12,22,32,4,2,114,4,7.05
2025-03-10,22,30,5,1,127,4,7.49
2025-09-23,38,112,12,2,229,3,2.33
2023-05-05,8,43,10,3,80,2,1.4
2025-11-06,68,187,14,2,120,2,6.96
2025-04-06,9,49,2,2,211,3,7.59
2026-06-22,80,232,15,3,383,9,3.93
2024-02-23,70,174,17,2,1143,9,2.67
2025-07-25,94,282,15,3,623,21,7.5
2026-02-27,2,35,11,2,52,1,1.51
2025-06-16,35,93,13,3,428,7,5.92
2026-02-09,91,278,1,1,303,3,7.52
2026-02-07,18,22,15,1,459,9,2.91
2025-11-01,45,98,17,1,185,7,2.76
2024-07-20,7,11,3,1,45,1,1.02
2025-06-23,87,221,6,3,1629,28,5.94
2026-01-22,15,10,15,3,336,10,6.84
2026-02-20,19,33,7,3,164,3,7.82
2025-04-24,32,95,7,3,43,1,2.26
2025-02-22,56,169,17,2,44,1,7.01
2024-04-11,62,176,15,3,528,8,1.17
2024-07-25,44,102,6,1,149,2,5.49
2023-08-25,74,223,5,2,73,2,2.25
2026-05-06,35,87,1,1,372,8,3.42
2025-02-27,59,186,1,2,445,3,2.33
2026-01-07,59,154,12,1,250,2,3.55
2023-09-13,94,272,15,1,607,15,4.55
2026-02-09,43,110,15,3,430,15,2.34
2026-03-11,50,96,20,2,1116,17,3.84
2025-05-30,40,103,15,2,893,15,5.25
2025-11-12,60,182,2,1,392,10,6.56
2024-08-04,22,48,6,1,191,5,5.65
2024-04-05,12,21,13,1,251,1,2.03
2025-04-28,64,158,15,1,889,27,2.36
2023-10-30,67,179,14,1,267,10,5.81
2023-12-27,14,33,2,3,415,5,4.25
2025-08-09,16,35,15,2,843,23,7.92
2026-01-27,60,186,14,2,378,8,7.28
2024-05-21,64,182,15,1,583,17,6.36
2025-06-19,86,220,17,1,658,8,5.99
2023-06-15,44,105,1,1,95,1,2.06
2025-04-29,20,51,16,1,164,2,3.32
2025-03-08,8,19,3,1,114,1,7.62
2024-12-21,79,225,14,1,302,6,6.27
2026-05-20,57,188,10,2,68,2,4.42
2024-11-19,66,155,3,2,163,4,6.07
2025-03-17,17,45,15,1,877,21,5.64
2024-01-08,58,162,14,2,175,2,2.82
2025-02-15,62,174,15,2,584,16,6.26
2023-02-09,34,90,4,3,109,3,1.36
2023-03-05,30,89,5,2,71,1,2.4
2025-08-27,20,21,7,1,89,1,4.95
2026-05-25,98,270,9,2,1743,25,7.75
2026-03-31,21,25,6,2,66,1,7.5
2026-04-27,50,110,7,3,1784,25,2.7
2026-03-05,40,123,15,3,342,8,3.43
2024-11-29,49,89,14,2,525,8,6.95
2025-07-30,14,33,13,3,228,4,4.05
2026-01-07,91,270,12,2,397,8,4.25
2024-05-17,81,221,15,3,388,8,2.95
2025-10-09,63,178,15,2,632,11,2.27
2026-05-05,35,106,13,3,291,3,4.89
2025-04-12,25,11,14,1,225,4,4.89
2023-02-05,64,185,15,3,395,10,3.06
2025-01-25,33,104,11,1,100,2,4.87
2025-07-18,76,223,18,2,74,1,3.15
2026-01-02,25,26,13,2,343,6,6.34
2026-04-22,29,115,17,3,107,4,5.18
2025-01-09,25,24,14,3,145,4,3.12
2023-04-22,17,23,15,2,866,31,3.04
2023-07-30,87,240,13,2,525,8,5.02
2023-04-16,60,175,2,3,279,3,7.59
2023-06-01,9,31,14,2,445,1,5.41
2024-05-23,20,42,17,3,90,1,4.91
2024-04-07,82,238,2,2,193,5,3.66
2024-09-17,40,122,15,1,882,19,5.35
2024-06-25,13,19,2,1,191,2,2.1
2025-04-16,10,16,1,1,380,5,5.83
2024-08-02,5,20,17,3,98,2,1.5
2025-05-20,35,125,12,3,208,4,4.81
2023-05-03,36,94,1,2,234,3,6.55
2025-06-18,78,242,13,2,213,4,4.28
2026-01-10,55,171,10,2,103,3,4.06
2024-05-27,59,174,12,2,163,4,1.64
2026-03-26,79,231,1,1,170,2,6.34
2024-01-07,70,182,17,1,1698,29,4.05
2025-04-16,12,36,13,1,320,3,3.25
2025-10-11,21,27,3,1,133,2,5.64
2023-06-30,76,214,4,3,80,1,2.77
2026-01-16,55,186,5,2,99,2,3.89
2025-06-24,48,124,11,2,294,7,1.36
2025-09-19,17,24,15,3,424,12,1.2
2026-02-02,32,95,17,3,41,1,4.87
2023-11-12,15,35,15,2,810,22,7.53
2025-08-25,36,111,14,3,274,4,4.2
2023-05-23,25,44,14,3,170,6,6.41
2023-01-06,45,117,17,3,132,4,6.08
2023-11-01,80,234,15,2,757,12,4.77
2025-02-11,76,237,10,3,98,3,7.53
2025-02-23,98,269,19,3,978,6,6.99
2025-03-01,42,115,15,3,455,5,4.47
2025-06-20,68,175,13,3,125,3,4.68
2026-06-30,19,32,7,2,161,4,5.55
2024-10-10,95,279,3,1,184,1,7.11
2024-04-10,9,21,13,1,196,1,4.04
2025-06-27,87,235,4,2,840,20,5.86
2024-08-23,6,26,5,2,85,2,3.62
2024-01-04,73,226,11,3,61,1,2.23
2026-04-09,50,124,16,2,793,10,2.63
2025-08-10,62,170,15,2,594,8,5.74
2024-09-04,60,176,12,3,367,5,5.83
2025-09-16,40,97,15,3,409,9,2.66
2025-03-21,79,222,13,3,290,6,1.06
2024-08-09,7,44,4,3,69,1,5.25
2024-05-28,87,219,20,1,780,16,5.4
2025-06-21,89,263,17,1,44,1,5.06
2025-04-30,12,24,13,3,239,4,2.41
